"SEQPRODUTO";"DESCCOMPLETA";"QUANTIDADE";"DATA";"HORA";"ENTRADASAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,404;01/04/25;"09:37:48";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,37;01/04/25;"09:37:48";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,382;01/04/25;"09:38:38";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,32;01/04/25;"09:38:38";"SAIDA"
"145916";"CARNE BOV RSF KG PALETA";0,87;01/04/25;"09:42:27";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,416;01/04/25;"09:43:42";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,354;01/04/25;"09:43:42";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,424;01/04/25;"09:43:42";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,388;01/04/25;"09:43:42";"SAIDA"
"145919";"CARNE BOV RSF KG PEITO";0,568;01/04/25;"09:43:42";"SAIDA"
"145919";"CARNE BOV RSF KG PEITO";0,67;01/04/25;"09:43:42";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,458;01/04/25;"09:43:42";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";3,044;01/04/25;"09:44:46";"SAIDA"
"145916";"CARNE BOV RSF KG PALETA";0,63;01/04/25;"09:47:10";"SAIDA"
"145916";"CARNE BOV RSF KG PALETA";0,788;01/04/25;"09:47:10";"SAIDA"
"145916";"CARNE BOV RSF KG PALETA";0,816;01/04/25;"09:47:10";"SAIDA"
"145911";"CARNE BOV RSF KG PICADO PRIMEIRA";0,98;01/04/25;"09:47:13";"SAIDA"
"145909";"CARNE BOV RSF KG BIFE COX DENTRO";0,538;01/04/25;"09:47:13";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,512;01/04/25;"09:47:42";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,526;01/04/25;"09:47:42";"SAIDA"
"145919";"CARNE BOV RSF KG PEITO";0,696;01/04/25;"09:48:01";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,48;01/04/25;"09:48:01";"SAIDA"
"145921";"CARNE BOV RSF KG GRANITO";7,64;01/04/25;"09:49:22";"SAIDA"
"145916";"CARNE BOV RSF KG PALETA";0,866;01/04/25;"09:49:57";"SAIDA"
"145921";"CARNE BOV RSF KG GRANITO";0,97;01/04/25;"09:51:01";"SAIDA"
"145909";"CARNE BOV RSF KG BIFE COX DENTRO";1,002;01/04/25;"09:51:01";"SAIDA"
"145929";"CARNE BOV RSF KG FRALDINHA";0,744;01/04/25;"09:51:01";"SAIDA"
